"Site","Element","Model","Rank_site","Robustness_score_site","R2_overall","RMSE_overall","RMSEP_overall","SNR_CI_s","SNR_smooth_s","n_mean"
"HER42PB","Sr","OLS",1,0.799506022598707,0.605940022011523,0.388440903375382,59.7735590156883,0.827042688505896,0.758201023737924,4009
"HER42PB","Sr","PLS_LOO",2,0.638298167192008,0.681443929954195,0.349250256346248,60.5526521980026,1,0.0957454179800206,3901
"HER42PB","Sr","PLS_kfold",3,0.638298167192008,0.681443929954195,0.349250256346248,60.5526521980026,1,0.0957454179800206,3901
"HER42PB","Sr","RF",4,0.62285124143943,0.724605462674095,0.324729281645887,42.4284084999708,0.858017383310597,0.270102028632682,3901
"HER42PB","Sr","Bayes",5,0.541819950742984,0.719033486991341,0.327997906598047,49.7050467588939,0.903033251238306,0,3901
"HER42PB","Sr","OLS_weighted",6,0.4,0.588442221601662,0.396971381054182,68.563181097856,0,1,4009
"HER42PB","Sr","WLS_weighted",7,0.39670311935414,0.605197017350042,0.38880693583257,61.616501941787,0.11197522336339,0.823794963340264,4009
"HER42PB","Sr","WLS",8,0.35665176361398,0.605899324973479,0.388460961218056,59.3656290640811,0.0986316514228474,0.743681931900679,4009
"HER42PB","Ti","OLS_weighted",1,0.929842531501816,0.718555763474536,0.652933928562262,2173.73266969499,0.88307088583636,1,3971
"HER42PB","Ti","OLS",2,0.840054643417444,0.729930592021033,0.639603384224678,2035.54425020404,0.923536263758812,0.714832212905392,3971
"HER42PB","Ti","PLS_LOO",3,0.689822315613742,0.754035431978301,0.610392701137588,2029.36926987965,0.829953692631308,0.479625250087393,3901
"HER42PB","Ti","PLS_kfold",4,0.689822315613742,0.754035431978301,0.610392701137588,2029.36926987965,0.829953692631308,0.479625250087393,3901
"HER42PB","Ti","RF",5,0.668048055643276,0.756878389356067,0.606854866359101,1582.52952794485,1,0.17012013910819,3901
"HER42PB","Ti","Bayes",6,0.577994935458157,0.769067236846491,0.591446999353038,1783.30513592537,0.963324892430263,0,3901
"HER42PB","Ti","WLS",7,0.383469455463201,0.728935134347202,0.640781067535794,1882.89538666468,0,0.958673638658002,3971
"HER42PB","Ti","WLS_weighted",8,0.382685561672019,0.72919658362992,0.640471967780676,1893.08238585334,0.0182301749904527,0.929368641694368,3971
"HER42PB","Zr","Bayes",1,0.811223779252075,0.723503699572672,0.691034085621477,78.0488237943269,0.721260164067184,0.946169202029411,3901
"HER42PB","Zr","PLS_LOO",2,0.808021897285313,0.697291605179832,0.723047851394819,93.2499291193699,0.680036495475522,1,3901
"HER42PB","Zr","RF",3,0.714027891137041,0.763434294129901,0.639191072577344,44.0874905808599,1,0.285069727842602,3901
"HER42PB","Zr","PLS_kfold",4,0.636213676566512,0.666923514991935,0.758449717250912,101.723366963639,0.649022256510441,0.61700080665062,3901
"HER42PB","Zr","OLS",5,0.505194564537505,0.608456680906178,0.822327315016661,148.16046066862,0.81326777190348,0.0430847534885417,4009
"HER42PB","Zr","WLS_weighted",6,0.364304040697102,0.608229412035276,0.822565937768544,162.575252795128,0.607173401161836,0,4009
"HER42PB","Zr","WLS",7,0.240173814711921,0.608323185716187,0.822467487738816,159.077231156446,0.393646153120697,0.00996530709875732,4009
"HER42PB","Zr","OLS_weighted",8,0.0705951617064089,0.401191970178938,1.01694769214115,153.784821913486,0,0.176487904266022,4009
