"Site","Element","Model","Rank_site","Robustness_score_site","R2_overall","RMSE_overall","RMSEP_overall","SNR_CI_s","SNR_smooth_s","n_mean"
"BI10","Mn","PLS_LOO",1,0.833569020392089,0.652472643614871,0.567888873609633,106.37886834467,0.722615033986815,1,4577
"BI10","Mn","PLS_kfold",2,0.833569020392089,0.652472643614871,0.567888873609633,106.37886834467,0.722615033986815,1,4577
"BI10","Mn","RF",3,0.778886759970762,0.693783864178937,0.533068349436722,100.340442065868,0.817180506715346,0.721446139853886,4577
"BI10","Mn","OLS",4,0.60348586927629,0.642325781154841,0.576119639333299,111.776118917736,0.955104440844773,0.0760580119235674,4853
"BI10","Mn","Bayes",5,0.6,0.675458563365959,0.54878715622519,106.167683499791,1,0,4577
"BI10","Mn","OLS_weighted",6,0.281039950150446,0.621575234052913,0.592595892589243,115.442539169045,0.241446290439852,0.340430439716337,4853
"BI10","Mn","WLS",7,0.0579281015124036,0.64171449487873,0.57661174033931,108.962939644912,0.00194241503673336,0.141906631225909,4853
"BI10","Mn","WLS_weighted",8,0.0492516369486222,0.642027836746649,0.576359544649593,109.653909631702,0,0.123129092371556,4853
"BI10","Sr","OLS",1,0.70960797042168,0.605940022011523,0.388440903375382,59.7735590156883,0.745259101978359,0.656131273086663,4892
"BI10","Sr","RF",2,0.675466417523438,0.724605462674095,0.324729281645887,42.4284084999708,0.891260006420489,0.351776034177861,4577
"BI10","Sr","PLS_LOO",3,0.664500131543032,0.681443929954195,0.349250256346248,60.5526521980026,0.886977669174336,0.330783825096075,4577
"BI10","Sr","PLS_kfold",4,0.664500131543032,0.681443929954195,0.349250256346248,60.5526521980026,0.886977669174336,0.330783825096075,4577
"BI10","Sr","Bayes",5,0.6,0.719033486991341,0.327997906598047,49.7050467588939,1,0,4577
"BI10","Sr","OLS_weighted",6,0.4,0.588442221601662,0.396971381054182,68.563181097856,0,1,4892
"BI10","Sr","WLS_weighted",7,0.354224440343167,0.605197017350042,0.38880693583257,61.616501941787,0.100769208914347,0.734407287486397,4892
"BI10","Sr","WLS",8,0.308864907960675,0.605899324973479,0.388460961218056,59.3656290640811,0.0888670926950248,0.638861630859151,4892
"BI10","Ti","PLS_LOO",1,0.876965695204793,0.754035431978301,0.610392701137588,2029.36926987965,0.871485181770401,0.885186465356381,4577
"BI10","Ti","PLS_kfold",2,0.876965695204793,0.754035431978301,0.610392701137588,2029.36926987965,0.871485181770401,0.885186465356381,4577
"BI10","Ti","Bayes",3,0.776389402374729,0.769067236846491,0.591446999353038,1783.30513592537,1,0.440973505936822,4577
"BI10","Ti","OLS_weighted",4,0.770377586593734,0.718555763474536,0.652933928562262,2173.73266969499,0.617295977656224,1,4790
"BI10","Ti","OLS",5,0.665586763831273,0.729930592021033,0.639603384224678,2035.54425020404,0.629402741291949,0.719862797640259,4790
"BI10","Ti","RF",6,0.576472008709843,0.756878389356067,0.606854866359101,1582.52952794485,0.960786681183072,0,4577
"BI10","Ti","WLS_weighted",7,0.316700437570147,0.72919658362992,0.640471967780676,1893.08238585334,0.0126065022425833,0.772841340561493,4790
"BI10","Ti","WLS",8,0.311259419683575,0.728935134347202,0.640781067535794,1882.89538666468,0,0.778148549208937,4790
"BI10","Zr","Bayes",1,0.740760196938418,0.723503699572672,0.691034085621477,78.0488237943269,0.932193095188975,0.453610849562583,4577
"BI10","Zr","PLS_kfold",2,0.652887485433803,0.666923514991935,0.758449717250912,101.723366963639,0.612092825873628,0.714079474774066,4577
"BI10","Zr","PLS_LOO",3,0.642239667112164,0.697291605179832,0.723047851394819,93.2499291193699,0.679592099698352,0.586211018232882,4577
"BI10","Zr","RF",4,0.6,0.763434294129901,0.639191072577344,44.0874905808599,1,0,4577
"BI10","Zr","OLS",5,0.40582630593356,0.608456680906178,0.822327315016661,148.16046066862,0.481834767601882,0.291813613431077,5017
"BI10","Zr","OLS_weighted",6,0.4,0.401191970178938,1.01694769214115,153.784821913486,0,1,5017
"BI10","Zr","WLS_weighted",7,0.320190340525888,0.608229412035276,0.822565937768544,162.575252795128,0.349254387406297,0.276594270205274,5017
"BI10","Zr","WLS",8,0.248858003310791,0.608323185716187,0.822467487738816,159.077231156446,0.227979161967711,0.280176265325409,5017
